Dart SDK 3.13.2, dart run isolate_experiment.dart, 2026-09-22
[0] Bắt đầu Step 4; heavyIterations=1500000000.
[2] === Trường hợp 1 - main isolate ===
[2] Trường hợp 1 - main isolate: bật heartbeat mỗi 100 ms.
[118] Trường hợp 1 - main isolate: heartbeat #1, gapMs=0
[210] Trường hợp 1 - main isolate: heartbeat #2, gapMs=92
[275] Trường hợp 1 - main isolate: bắt đầu tính trực tiếp.
[3587] Trường hợp 1 - main isolate: hoàn tất; checksum=1197327744, computeMs=3312
[3588] Trường hợp 1 - main isolate: heartbeat #3, gapMs=3378
[3619] Trường hợp 1 - main isolate: heartbeat #4, gapMs=31
[3713] Trường hợp 1 - main isolate: heartbeat #5, gapMs=94
[3807] Trường hợp 1 - main isolate: heartbeat #6, gapMs=94
[3853] Trường hợp 1 - main isolate: dừng heartbeat; ticks=6, maxGapMs=3378
[3855] === Trường hợp 2 - Isolate.run ===
[3855] Trường hợp 2 - Isolate.run: bật heartbeat mỗi 100 ms.
[3964] Trường hợp 2 - Isolate.run: heartbeat #1, gapMs=0
[4058] Trường hợp 2 - Isolate.run: heartbeat #2, gapMs=94
[4120] Trường hợp 2 - Isolate.run: bắt đầu tính trong isolate phụ.
[4166] Trường hợp 2 - Isolate.run: heartbeat #3, gapMs=108
[4261] Trường hợp 2 - Isolate.run: heartbeat #4, gapMs=95
[4368] Trường hợp 2 - Isolate.run: heartbeat #5, gapMs=107
[4461] Trường hợp 2 - Isolate.run: heartbeat #6, gapMs=93
[4571] Trường hợp 2 - Isolate.run: heartbeat #7, gapMs=110
[4663] Trường hợp 2 - Isolate.run: heartbeat #8, gapMs=92
[4756] Trường hợp 2 - Isolate.run: heartbeat #9, gapMs=93
[4866] Trường hợp 2 - Isolate.run: heartbeat #10, gapMs=110
[4959] Trường hợp 2 - Isolate.run: heartbeat #11, gapMs=93
[5067] Trường hợp 2 - Isolate.run: heartbeat #12, gapMs=108
[5159] Trường hợp 2 - Isolate.run: heartbeat #13, gapMs=92
[5268] Trường hợp 2 - Isolate.run: heartbeat #14, gapMs=109
[5361] Trường hợp 2 - Isolate.run: heartbeat #15, gapMs=93
[5470] Trường hợp 2 - Isolate.run: heartbeat #16, gapMs=109
[5563] Trường hợp 2 - Isolate.run: heartbeat #17, gapMs=92
[5656] Trường hợp 2 - Isolate.run: heartbeat #18, gapMs=94
[5764] Trường hợp 2 - Isolate.run: heartbeat #19, gapMs=108
[5857] Trường hợp 2 - Isolate.run: heartbeat #20, gapMs=93
[5967] Trường hợp 2 - Isolate.run: heartbeat #21, gapMs=110
[6060] Trường hợp 2 - Isolate.run: heartbeat #22, gapMs=93
[6169] Trường hợp 2 - Isolate.run: heartbeat #23, gapMs=109
[6262] Trường hợp 2 - Isolate.run: heartbeat #24, gapMs=93
[6368] Trường hợp 2 - Isolate.run: heartbeat #25, gapMs=106
[6463] Trường hợp 2 - Isolate.run: heartbeat #26, gapMs=95
[6556] Trường hợp 2 - Isolate.run: heartbeat #27, gapMs=93
[6664] Trường hợp 2 - Isolate.run: heartbeat #28, gapMs=108
[6757] Trường hợp 2 - Isolate.run: heartbeat #29, gapMs=93
[6867] Trường hợp 2 - Isolate.run: heartbeat #30, gapMs=110
[6961] Trường hợp 2 - Isolate.run: heartbeat #31, gapMs=94
[7070] Trường hợp 2 - Isolate.run: heartbeat #32, gapMs=109
[7162] Trường hợp 2 - Isolate.run: heartbeat #33, gapMs=92
[7271] Trường hợp 2 - Isolate.run: heartbeat #34, gapMs=109
[7363] Trường hợp 2 - Isolate.run: heartbeat #35, gapMs=92
[7471] Trường hợp 2 - Isolate.run: heartbeat #36, gapMs=108
[7566] Trường hợp 2 - Isolate.run: heartbeat #37, gapMs=95
[7660] Trường hợp 2 - Isolate.run: heartbeat #38, gapMs=94
[7770] Trường hợp 2 - Isolate.run: heartbeat #39, gapMs=110
[7864] Trường hợp 2 - Isolate.run: heartbeat #40, gapMs=94
[7956] Trường hợp 2 - Isolate.run: heartbeat #41, gapMs=92
[8065] Trường hợp 2 - Isolate.run: heartbeat #42, gapMs=109
[8159] Trường hợp 2 - Isolate.run: heartbeat #43, gapMs=94
[8267] Trường hợp 2 - Isolate.run: heartbeat #44, gapMs=108
[8361] Trường hợp 2 - Isolate.run: heartbeat #45, gapMs=94
[8468] Trường hợp 2 - Isolate.run: heartbeat #46, gapMs=107
[8505] Trường hợp 2 - Isolate.run: hoàn tất; checksum=1197327744, computeMs=4384
[8563] Trường hợp 2 - Isolate.run: heartbeat #47, gapMs=95
[8670] Trường hợp 2 - Isolate.run: heartbeat #48, gapMs=107
[8763] Trường hợp 2 - Isolate.run: dừng heartbeat; ticks=48, maxGapMs=110
[8763] Kết thúc Step 4.
